0,0,0,62,16,0,0,0,0,FALSE,FALSE
1,0,0,62,16,11,0,0,0,FALSE,FALSE
2,0,0,62,16,11,0,0,0,TRUE,TRUE
3,0,0,62,16,-23,0,0,0,TRUE,TRUE
4,0,0,114,14,-23,0,0,0,TRUE,TRUE
5,0,0,114,32,-23,0,0,0,TRUE,TRUE
6,0,0,114,32,-23,0,0,0,FALSE,FALSE
6,1,2,114,32,-23,0,0,0,FALSE,FALSE
0,1,2,62,16,0,0,0,0,FALSE,FALSE
5,1,2,114,32,-23,0,0,0,TRUE,TRUE
4,1,2,114,14,-23,0,0,0,TRUE,TRUE
3,1,2,62,16,-23,0,0,0,TRUE,TRUE
2,1,2,62,16,11,0,0,0,TRUE,TRUE
1,1,2,62,16,11,0,0,0,FALSE,FALSE
0,0,0,53,0,0,0,0,0,FALSE,FALSE
0,1,2,53,0,0,0,0,0,FALSE,FALSE
1,1,2,53,18,0,0,0,0,FALSE,FALSE
2,1,2,53,18,6,-3,-27,-27,FALSE,FALSE
3,1,2,53,18,6,-3,-27,-27,TRUE,TRUE
4,1,2,53,18,-29,-3,-27,-27,TRUE,TRUE
5,1,2,53,0,-29,-3,-27,-27,TRUE,TRUE
6,1,2,53,0,-29,-3,-27,-27,TRUE,TRUE
7,1,2,108,0,-29,-3,-27,-27,TRUE,TRUE
0,0,0,64,-20,0,0,0,0,TRUE,TRUE
1,0,0,87,-20,0,0,0,0,TRUE,TRUE
0,1,2,64,-20,0,0,0,0,TRUE,TRUE
1,2,1,87,-20,0,0,0,0,TRUE,TRUE
0,1,2,56,0,0,0,0,0,FALSE,FALSE
1,1,2,56,13,0,0,0,0,FALSE,FALSE
2,1,2,56,13,12,0,0,0,TRUE,TRUE
3,1,2,56,-17,12,0,0,0,TRUE,TRUE
4,1,2,112,-22,12,0,0,0,TRUE,TRUE
5,1,2,112,1,12,0,0,0,TRUE,TRUE
6,1,2,112,1,12,0,0,0,FALSE,FALSE
0,1,1,30,0,0,0,0,0,TRUE,TRUE
0,1,1,0,0,0,0,0,0,TRUE,TRUE
0,0,0,0,0,0,0,0,0,FALSE,FALSE
0,0,0,0,0,0,0,0,0,FALSE,FALSE
0,0,0,0,0,0,0,0,0,FALSE,FALSE
1,0,0,0,0,0,0,0,0,FALSE,FALSE
